eta_gain,eta_loss,reference_gap
0.12,0.44,0.11968000000000001
0.12,0.46,0.12320000000000009
0.12,0.48,0.12672000000000005
0.12,0.5,0.13024000000000002
0.12,0.52,0.1337600000000001
0.12,0.54,0.13728000000000007
0.12,0.56,0.14080000000000004
0.12,0.58,0.14432000000000011
0.12,0.6,0.14784000000000008
0.12,0.62,0.15136000000000005
0.12,0.64,0.15488000000000013
0.12,0.66,0.1584000000000001
0.12,0.68,0.16192000000000006
0.12,0.7000000000000001,0.16544000000000014
0.12,0.72,0.16896
0.12,0.74,0.17247999999999997
0.12,0.76,0.17600000000000005
0.12,0.78,0.17952
0.12,0.8,0.18303999999999998
0.14,0.0,0.04815999999999998
0.14,0.02,0.05160000000000009
0.14,0.04,0.05503999999999998
0.14,0.06,0.05848000000000009
0.14,0.08,0.061919999999999975
0.14,0.1,0.06536000000000008
0.14,0.12,0.06879999999999997
0.14,0.14,0.07224000000000008
0.14,0.16,0.07567999999999997
0.14,0.18,0.07912000000000008
0.14,0.2,0.08256000000000008
0.14,0.22,0.08600000000000008
0.14,0.24,0.08944000000000007
0.14,0.26,0.09288000000000007
0.14,0.28,0.09632000000000007
0.14,0.3,0.09975999999999996
0.14,0.32,0.10319999999999996
0.14,0.34,0.10663999999999996
0.14,0.36,0.11007999999999996
0.14,0.38,0.11351999999999995
0.14,0.4,0.11695999999999995
0.14,0.42,0.12039999999999995
0.14,0.44,0.12383999999999995
0.14,0.46,0.12727999999999995
0.14,0.48,0.13071999999999995
0.14,0.5,0.13415999999999995
0.14,0.52,0.13759999999999994
0.14,0.54,0.14103999999999994
0.14,0.56,0.14447999999999994
0.14,0.58,0.14792000000000005
0.14,0.6,0.15136000000000005
0.14,0.62,0.15480000000000005
0.14,0.64,0.15824000000000005
0.14,0.66,0.16168000000000005
0.14,0.68,0.16512000000000004
0.14,0.7000000000000001,0.16856000000000004
0.14,0.72,0.17199999999999993
0.14,0.74,0.17543999999999993
0.14,0.76,0.17887999999999993
0.14,0.78,0.18231999999999993
0.14,0.8,0.18575999999999993
0.16,0.0,0.05376000000000003
0.16,0.02,0.05712000000000006
0.16,0.04,0.06048000000000009
0.16,0.06,0.06384000000000012
0.16,0.08,0.06720000000000015
0.16,0.1,0.07056000000000018
0.16,0.12,0.07391999999999999
0.16,0.14,0.07728000000000002
0.16,0.16,0.08064000000000004
0.16,0.18,0.08400000000000007
0.16,0.2,0.0873600000000001
0.16,0.22,0.09072000000000013
0.16,0.24,0.09408000000000005
0.16,0.26,0.09744000000000008
0.16,0.28,0.10080000000000011
0.16,0.3,0.10416000000000003
0.16,0.32,0.10752000000000006
0.16,0.34,0.11087999999999998
0.16,0.36,0.11424000000000001
0.16,0.38,0.11760000000000004
0.16,0.4,0.12096000000000007
0.16,0.42,0.12431999999999999
0.16,0.44,0.12768000000000002
0.16,0.46,0.13104000000000005
0.16,0.48,0.13440000000000007
0.16,0.5,0.1377600000000001
0.16,0.52,0.14112000000000002
0.16,0.54,0.14448000000000005
0.16,0.56,0.14784000000000008
0.16,0.58,0.1512
0.16,0.6,0.15456000000000003
0.16,0.62,0.15792000000000006
0.16,0.64,0.1612800000000001
0.16,0.66,0.16464000000000012
0.16,0.68,0.16800000000000004
0.16,0.7000000000000001,0.17136000000000007
0.16,0.72,0.17472
0.16,0.74,0.17808000000000002
0.16,0.76,0.18144000000000005
0.16,0.78,0.18479999999999996
0.16,0.8,0.18816
0.18,0.0,0.05903999999999998
0.18,0.02,0.06231999999999993
0.18,0.04,0.0656000000000001
0.18,0.06,0.06888000000000005
0.18,0.08,0.07216
0.18,0.1,0.07543999999999995
0.18,0.12,0.07872000000000012
0.18,0.14,0.08200000000000007
0.18,0.16,0.08528000000000002
