user_id,PGR,PLR,disposition,transnum,stknum,num_posts,lag_pos,lag_neg,lag_neu,lag_num_posts,guanzhu,fans,status_count,stocks_count,following_count,e6_pgr,e6_plr,e6_disposition,e6_reduce_rate,e6_opportunity_count,gain_opportunities,loss_opportunities,sentiment_balance,activity_rank,diversification_rank,reference_rank,base_adoption,loss_aversion,cluster,agent_type,type_prevalence
021915,0.0,0.8333333333333334,-0.8333333333333334,1.8333333333333333,0.8333333333333334,117.83333333333333,1.6,0.0,0.0,56.2,6,0,4,2,0,0.7287230412230411,0.6347329863119338,0.09399005491110735,0.6943117689620114,7,2.0,5.0,0.6153846153846154,0.6930479747199081,0.02068371157713301,0.18055156564205688,0.6943117689620114,1.3759602196444294,0,Moderate-frequency focused investors,0.4941108876759552
021955,1.0,0.0,1.0,0.0,2.0,3929.0,,,,,15,1,2,17,0,0.7741775866775865,0.5434162328899171,0.23076135378766938,0.6702917164533775,2,2.0,0.0,,0.06391841424877909,0.4692617064062051,0.6047112898592358,0.6702917164533775,1.9230454151506775,1,Low-frequency diversified investors,0.024992818155702385
021958,0.2995334031048317,0.0,0.2995334031048317,0.7857142857142857,19.809523809523807,3930.285714285714,93.76923076923077,28.307692307692307,10.076923076923077,4034.0,37,0,3,124,0,0.8726129976129976,0.6347329863119338,0.23788001130106384,0.8351458582266887,24,19.0,5.0,0.49162333911034084,0.41496696351623097,0.997701809824763,0.6288422866992244,0.8351458582266887,1.9515200452042554,0,Moderate-frequency focused investors,0.4941108876759552
022088,0.41666666666666663,0.4095238095238095,0.007142857142857141,1.8928571428571428,1.5833333333333335,20002.464285714286,361.3333333333333,229.2962962962963,72.03703703703704,20299.48148148148,154,10,43,603,0,0.5604254254254254,0.32255547293141273,0.23786995249401266,0.3921651110123394,140,55.0,85.0,0.1989508343099503,0.7056880206837116,0.3210284401034186,0.6285550129273197,0.3921651110123394,1.9514798099760506,3,Active diversified investors,0.19419706980752657
022103,0.41904761904761906,0.3480952380952381,0.07095238095238095,0.9428571428571428,3.1523809523809523,10993.542857142857,213.6764705882353,112.02941176470588,32.88235294117647,11174.323529411764,80,3,255,221,0,0.8146955094629512,0.7304072146177408,0.08428829484521039,0.8050943788525633,48,23.0,25.0,0.2826762637003108,0.4622234989945418,0.7423154266015513,0.15943694340706693,0.8050943788525633,1.3371531793808416,0,Moderate-frequency focused investors,0.4941108876759552
022193,0.21025641025641026,0.038461538461538464,0.1717948717948718,0.46153846153846156,4.846153846153846,26796.69230769231,493.5833333333333,294.4166666666667,94.5,26837.833333333332,165,17,123,122,0,0.600709042375709,0.43956757991845713,0.16114146245725186,0.4951234184995059,32,25.0,7.0,0.22542916430862098,0.2872737719046251,0.903476012640046,0.34989945417983337,0.4951234184995059,1.6445658498290074,3,Active diversified investors,0.19419706980752657
022241,0.3,0.8,-0.5,0.4,2.0,25852.0,477.0,245.25,80.5,25721.5,166,2,29,149,0,0.740517691604648,0.6195135274082643,0.12100416419638371,0.6943117689620114,7,3.0,4.0,0.28833592534992225,0.26702097098534905,0.4692617064062051,0.24130996839988508,0.6943117689620114,1.4840166567855348,0,Moderate-frequency focused investors,0.4941108876759552
022315,0.0,1.0,-1.0,2.0,1.0,4354.0,,,,,20,2,34,5,0,0.7515953453453453,0.5651583170380163,0.186437028307329,0.6545913219987765,1,0.0,1.0,,0.7249353634013215,0.0800057454754381,0.43837977592645794,0.6545913219987765,1.745748113229316,1,Low-frequency diversified investors,0.024992818155702385
022319,1.0,0.0,1.0,1.3333333333333333,0.8888888888888888,306.3333333333333,15.5,1.0,2.0,458.5,6,0,0,1,0,0.7839959524742133,0.494014757172652,0.2899811953015613,0.6298567104789722,5,3.0,2.0,0.7435897435897436,0.5844584889399598,0.024992818155702385,0.758259120942258,0.6298567104789722,2.159924781206245,0,Moderate-frequency focused investors,0.4941108876759552
022339,1.0,1.0,0.0,0.0,6.0,479.0,,,,,6,0,0,16,0,0.7741775866775865,0.5506786910295682,0.22349889564801828,0.6464281986887692,9,2.0,7.0,,0.06391841424877909,0.9475725366274059,0.576271186440678,0.6464281986887692,1.8939955825920731,1,Low-frequency diversified investors,0.024992818155702385
