reference,bootstrap,log_loss,brier,calibration_intercept,calibration_slope,observed_rate,predicted_rate,auroc,auprc
static,3,0.5919819906555059,0.1927529992770368,0.5524847262977111,0.11143780337472038,0.5975624586198975,0.5602158173912636,0.7711317419089956,0.7990880300633958
symmetric,3,0.5905442675296377,0.19218793632537245,0.5523642333087214,0.11175528373053555,0.5975624586198975,0.5601848854308107,0.7723642572480025,0.800250987269796
asymmetric,3,0.590041613605597,0.19197831877545474,0.5522372254300503,0.11181712482443412,0.5975624586198975,0.5601386289249052,0.7728125712212914,0.8006909963707498
none,4,0.6144583678489124,0.2004494715203388,0.5563406585961028,0.1100630390830975,0.5988328797541195,0.5594247492511771,0.7525899104439355,0.7824902525101735
static,4,0.5912284915273422,0.1916527284140071,0.5530971647986851,0.1144642814118027,0.5988328797541195,0.5611181789689318,0.772999931720196,0.800331947496866
symmetric,4,0.5896927801235187,0.19109990434506777,0.5529685613523038,0.11483138662940666,0.5988328797541195,0.5610050378926399,0.774371199215423,0.8017807593852516
asymmetric,4,0.5891170457270952,0.1908974499167284,0.5528906431002087,0.11492395077946516,0.5988328797541195,0.5608697133778798,0.7748549284622918,0.802330644378841
none,5,0.6011506299315552,0.1933034712825326,0.5511757272844016,0.1073118891549112,0.5976915472759422,0.564196431345733,0.7649241687728074,0.7891028518045394
static,5,0.5789704389182251,0.185290334158363,0.5481160364337839,0.11164741481308892,0.5976915472759422,0.5654549576430756,0.7834559016777558,0.8058369752117903
symmetric,5,0.5780984364635074,0.18495129552209583,0.547977397552002,0.11181394557899774,0.5976915472759422,0.5654556919713192,0.7843295609941969,0.8069037795060117
asymmetric,5,0.5777324206999133,0.18481900442183158,0.5478324812021944,0.11184204199202144,0.5976915472759422,0.5654637587572603,0.7846581537881478,0.8073088468982682
none,6,0.5934850506902981,0.19101210399169186,0.5475440925075371,0.11017525031988626,0.6035817249655603,0.5743685568421387,0.7672007894276544,0.7937915184195437
static,6,0.5716573743991664,0.1832596330908347,0.543974987798161,0.11439522407797016,0.6035817249655603,0.5759440697207998,0.7849338326438662,0.8105867534079347
symmetric,6,0.5701525617909493,0.1827569365321078,0.5438593075871204,0.11470362127466648,0.6035817249655603,0.5757445759049374,0.7861315903827228,0.8118146004482208
asymmetric,6,0.5695692341626309,0.1825233339657428,0.5435825864590949,0.1148035023902502,0.6035817249655603,0.5758842650148658,0.7866292290541408,0.8123758104603034
none,7,0.6071261067110202,0.1989782442377649,0.5479951646065199,0.10814161092151069,0.5880111408261394,0.5522645232109221,0.7585838779614523,0.7864187861489844
static,7,0.583628278600661,0.19027640624445688,0.5449674880805114,0.11277893669060185,0.5880111408261394,0.5540187621194198,0.7783034168908245,0.8039816556260369
