reference,bootstrap,gain_reduction_rate,loss_reduction_rate,disposition_gap,gain_opportunities,loss_opportunities
static,57,0.7302379009098878,0.5076639334047803,0.2225739675051075,33081,40123
symmetric,57,0.734069041837017,0.5076094706562093,0.22645957118080773,32531,40673
asymmetric,57,0.7374976528760092,0.5081212121212121,0.22937644075479713,31954,41250
static,58,0.7197971381996016,0.4939618328197992,0.22583530537980234,33126,40244
symmetric,58,0.7240806788832862,0.49387944964011166,0.23020122924317454,32524,40846
asymmetric,58,0.7272271173685366,0.4949733600135008,0.23225375735503584,31891,41479
static,59,0.7226475522342535,0.5052500760880593,0.2173974761461942,32785,39428
symmetric,59,0.726677628517358,0.5050025012506253,0.22167512726673266,32233,39980
asymmetric,59,0.7300842892451993,0.506038617636207,0.22404567160899225,31558,40655
static,60,0.727119371856214,0.49256009156810376,0.23455928028811024,32604,39315
symmetric,60,0.7319967522328399,0.492067072712234,0.2399296795206059,32022,39897
asymmetric,60,0.7365231259968102,0.49254356774877367,0.24397955824803658,31350,40569
static,61,0.7139768097774992,0.502294787929943,0.21168202184755625,31910,37912
symmetric,61,0.7162050302451448,0.5032281578673331,0.2129768723778117,31410,38412
asymmetric,61,0.7195870263952469,0.5038825247943415,0.21570450160090537,30801,39021
static,62,0.7211866297039798,0.5171194385811014,0.2040671911228784,31383,36479
symmetric,62,0.7248104710684896,0.516947778138177,0.20786269293031256,30866,36996
asymmetric,62,0.7274227620808027,0.5179949954746313,0.20942776660617135,30296,37566
static,63,0.7203927002564934,0.5099883075851431,0.21040439267135025,33919,40197
symmetric,63,0.7240821219841151,0.5098279796814802,0.21425414230263495,33365,40751
asymmetric,63,0.7272088476109007,0.510632128358786,0.21657671925211464,32732,41384
static,64,0.7200554956065978,0.4985264854789552,0.2215290101276426,32435,39701
symmetric,64,0.7249045024735424,0.4974128066072939,0.2274916958662485,31938,40198
